dataset,mask_ratio,seed,method,pcc,rmse,mae,n_train,n_test,pcc_reference,rmse_reference,mae_reference,delta_pcc,delta_rmse,delta_mae
CCLE,0.1,0,original_mclrp,0.7081583845759185,0.9596986287428152,0.7058724635374308,10224,1136,0.7081583845759185,0.9596986287428152,0.7058724635374308,0.0,0.0,0.0
CCLE,0.1,0,mfmr_base,0.7441288015218211,0.6791629227382674,0.4871300494224144,10224,1136,0.7441288015218211,0.6791629227382674,0.4871300494224144,0.0,0.0,0.0
CCLE,0.1,1,original_mclrp,0.6973419441556564,0.8747491551038156,0.6922916017823534,10224,1136,0.6973419441556564,0.8747491551038156,0.6922916017823534,0.0,0.0,0.0
CCLE,0.1,1,mfmr_base,0.7193734604837402,0.6508934456782541,0.4883958110309117,10224,1136,0.7193734604837402,0.6508934456782541,0.4883958110309117,0.0,0.0,0.0
CCLE,0.1,2,original_mclrp,0.6734009121316346,0.8829599336090747,0.6720823602105239,10224,1136,0.6734009121316346,0.8829599336090747,0.6720823602105239,0.0,0.0,0.0
CCLE,0.1,2,mfmr_base,0.709222881789635,0.6707241258258293,0.5006654781044116,10224,1136,0.709222881789635,0.6707241258258293,0.5006654781044116,0.0,0.0,0.0
CCLE,0.1,3,original_mclrp,0.714834139569254,0.9006478879892252,0.6858528681105769,10224,1136,0.714834139569254,0.9006478879892252,0.6858528681105769,0.0,0.0,0.0
CCLE,0.1,3,mfmr_base,0.7354770804107077,0.6550498049792407,0.4924482417405209,10224,1136,0.7354770804107077,0.6550498049792407,0.4924482417405209,0.0,0.0,0.0
CCLE,0.1,4,original_mclrp,0.6952003000309468,0.978599100797625,0.7211102574923336,10224,1136,0.6952003000309468,0.978599100797625,0.7211102574923336,0.0,0.0,0.0
CCLE,0.1,4,mfmr_base,0.7350518792666427,0.7020840171025095,0.5028632242235841,10224,1136,0.7350518792666427,0.7020840171025095,0.5028632242235841,0.0,0.0,0.0
CCLE,0.1,5,original_mclrp,0.7046580256607816,0.9663868223841806,0.7036146644823533,10224,1136,0.7046580256607816,0.9663868223841806,0.7036146644823533,0.0,0.0,0.0
CCLE,0.1,5,mfmr_base,0.7281475031905134,0.702995245731809,0.5085425284485635,10224,1136,0.7281475031905134,0.702995245731809,0.5085425284485635,0.0,0.0,0.0
CCLE,0.1,6,original_mclrp,0.6728262108751223,0.9189061023221238,0.7063641620656052,10224,1136,0.6728262108751223,0.9189061023221238,0.7063641620656052,0.0,0.0,0.0
CCLE,0.1,6,mfmr_base,0.7190265741365782,0.678788409441535,0.5001722656079309,10224,1136,0.7190265741365782,0.678788409441535,0.5001722656079309,0.0,0.0,0.0
CCLE,0.1,7,original_mclrp,0.6800911412429539,0.9029711419319448,0.675783999433022,10224,1136,0.6800911412429539,0.9029711419319448,0.675783999433022,0.0,0.0,0.0
CCLE,0.1,7,mfmr_base,0.7151439317675693,0.6736620304408685,0.4941691931261899,10224,1136,0.7151439317675693,0.6736620304408685,0.4941691931261899,0.0,0.0,0.0
CCLE,0.1,8,original_mclrp,0.7078671517174013,0.9858034712057426,0.7268053272769642,10224,1136,0.7078671517174013,0.9858034712057426,0.7268053272769642,0.0,0.0,0.0
CCLE,0.1,8,mfmr_base,0.7340000715417169,0.7095194531289518,0.5039601638588247,10224,1136,0.7340000715417169,0.7095194531289518,0.5039601638588247,0.0,0.0,0.0
CCLE,0.1,9,original_mclrp,0.6815395872748676,0.9109470758929936,0.7000705489273302,10224,1136,0.6815395872748676,0.9109470758929936,0.7000705489273302,0.0,0.0,0.0
CCLE,0.1,9,mfmr_base,0.7136056123544144,0.6848852858668316,0.5115965693212658,10224,1136,0.7136056123544144,0.6848852858668316,0.5115965693212658,0.0,0.0,0.0
CCLE,0.15,0,original_mclrp,0.6908320590527078,0.9114812926829726,0.6850374843654828,9656,1704,0.7081583845759185,0.9596986287428152,0.7058724635374308,-0.017326325523210673,-0.048217336059842575,-0.020834979171947987
CCLE,0.15,0,mfmr_base,0.7258371308599283,0.6631933365277276,0.4864941542208995,9656,1704,0.7441288015218211,0.6791629227382674,0.4871300494224144,-0.018291670661892856,-0.015969586210539788,-0.0006358952015149133
CCLE,0.15,1,original_mclrp,0.6856178307504328,0.9122413593160036,0.7060581316798288,9656,1704,0.6973419441556564,0.8747491551038156,0.6922916017823534,-0.011724113405223613,0.03749220421218802,0.013766529897475399
CCLE,0.15,1,mfmr_base,0.7226348942730016,0.6684760734590217,0.4972123769372909,9656,1704,0.7193734604837402,0.6508934456782541,0.4883958110309117,0.0032614337892614698,0.01758262778076758,0.008816565906379248
CCLE,0.15,2,original_mclrp,0.6800936214065034,0.9454156548604454,0.6978422579417888,9656,1704,0.6734009121316346,0.8829599336090747,0.6720823602105239,0.006692709274868869,0.06245572125137078,0.025759897731264858
CCLE,0.15,2,mfmr_base,0.7224883419982584,0.6909598068782896,0.5040797713138235,9656,1704,0.709222881789635,0.6707241258258293,0.5006654781044116,0.013265460208623403,0.02023568105246032,0.0034142932094118894
CCLE,0.15,3,original_mclrp,0.7032680145096758,0.9032467897779108,0.6939449438255637,9656,1704,0.714834139569254,0.9006478879892252,0.6858528681105769,-0.011566125059578214,0.0025989017886856036,0.008092075714986824
CCLE,0.15,3,mfmr_base,0.7289619641219016,0.6586935983253608,0.4934031489184479,9656,1704,0.7354770804107077,0.6550498049792407,0.4924482417405209,-0.006515116288806078,0.0036437933461200833,0.0009549071779270113
CCLE,0.15,4,original_mclrp,0.6812833583569459,1.0019970911500131,0.7283384991385937,9656,1704,0.6952003000309468,0.978599100797625,0.7211102574923336,-0.013916941674000927,0.0233979903523881,0.007228241646260125
